"","WWR_N","WWR_S","WWR_E","WWR_W","RoofOvrhng_N","RoofOvrhng_S","RoofOvrhng_E","RoofOvrhng_W"
"1","0","0","0","0","0","0","1","1"
"2","1","0","0","0","0","0","0","0"
"3","0","1","0","0","0","0","0","0"
"4","1","1","0","0","0","0","1","1"
"5","0","0","1","0","0","0","0","1"
"6","1","0","1","0","0","0","1","0"
"7","0","1","1","0","0","0","1","0"
"8","1","1","1","0","0","0","0","1"
"9","0","0","0","1","0","0","0","1"
"10","1","0","0","1","0","0","1","0"
"11","0","1","0","1","0","0","1","0"
"12","1","1","0","1","0","0","0","1"
"13","0","0","1","1","0","0","1","1"
"14","1","0","1","1","0","0","0","0"
"15","0","1","1","1","0","0","0","0"
"16","1","1","1","1","0","0","1","1"
"17","0","0","0","0","1","0","1","0"
"18","1","0","0","0","1","0","0","1"
"19","0","1","0","0","1","0","0","1"
"20","1","1","0","0","1","0","1","0"
"21","0","0","1","0","1","0","0","0"
"22","1","0","1","0","1","0","1","1"
"23","0","1","1","0","1","0","1","1"
"24","1","1","1","0","1","0","0","0"
"25","0","0","0","1","1","0","0","0"
"26","1","0","0","1","1","0","1","1"
"27","0","1","0","1","1","0","1","1"
"28","1","1","0","1","1","0","0","0"
"29","0","0","1","1","1","0","1","0"
"30","1","0","1","1","1","0","0","1"
"31","0","1","1","1","1","0","0","1"
"32","1","1","1","1","1","0","1","0"
"33","0","0","0","0","0","1","1","0"
"34","1","0","0","0","0","1","0","1"
"35","0","1","0","0","0","1","0","1"
"36","1","1","0","0","0","1","1","0"
"37","0","0","1","0","0","1","0","0"
"38","1","0","1","0","0","1","1","1"
"39","0","1","1","0","0","1","1","1"
"40","1","1","1","0","0","1","0","0"
"41","0","0","0","1","0","1","0","0"
"42","1","0","0","1","0","1","1","1"
"43","0","1","0","1","0","1","1","1"
"44","1","1","0","1","0","1","0","0"
"45","0","0","1","1","0","1","1","0"
"46","1","0","1","1","0","1","0","1"
"47","0","1","1","1","0","1","0","1"
"48","1","1","1","1","0","1","1","0"
"49","0","0","0","0","1","1","1","1"
"50","1","0","0","0","1","1","0","0"
"51","0","1","0","0","1","1","0","0"
"52","1","1","0","0","1","1","1","1"
"53","0","0","1","0","1","1","0","1"
"54","1","0","1","0","1","1","1","0"
"55","0","1","1","0","1","1","1","0"
"56","1","1","1","0","1","1","0","1"
"57","0","0","0","1","1","1","0","1"
"58","1","0","0","1","1","1","1","0"
"59","0","1","0","1","1","1","1","0"
"60","1","1","0","1","1","1","0","1"
"61","0","0","1","1","1","1","1","1"
"62","1","0","1","1","1","1","0","0"
"63","0","1","1","1","1","1","0","0"
"64","1","1","1","1","1","1","1","1"
