"","run.order","std.order","x1","x2","x3","WWR_N","WWR_E","RoofOvrhng_N","RoofOvrhng_E"
"1",1,1,-1,-1,-1,0.0856743530418906,0.193708318641866,0.523226424920433,0.523770825479194
"2",2,2,1,-1,-1,0.196101357316893,0.137046816132939,0.476513700056108,0.588131413868055
"3",3,3,-1,1,-1,0.220441514192461,0.129008609879488,0.51280327537304,0.395151003768204
"4",4,4,1,1,-1,0.118204888717443,0.197985426162564,0.520664396405116,0.507379899739043
"5",5,5,-1,-1,1,0.189626340535634,0.125092666882961,0.479916816752056,0.50740370566531
"6",6,6,1,-1,1,0.119435192601629,0.1393275476366,0.523364584809527,0.507490768433926
"7",7,7,-1,1,1,0.059006564724599,0.16960517354289,0.504815389249019,0.541765180846734
"8",8,8,1,1,1,0.0889234156585844,0.133458160490121,0.499981852946011,0.415544819057298
"9",9,9,0,0,0,0.171909867787226,0.200457781435621,0.541232946235097,0.500733586039144
"10",10,10,0,0,0,0.210928336401859,0.152534246305494,0.546385895360588,0.480305296420722
"11",11,11,0,0,0,0.187113497915892,0.161147216942929,0.43191766827745,0.524026289140393
