"","run.order","std.order","dist","x1","x2","x3","WWR_N","WWR_E","RoofOvrhng_N","RoofOvrhng_E"
"1",1,1,0.125,0.076,-0.083,-0.054,0.108579756832375,0.138359720820174,0.535842138067882,0.447188506151194
"2",2,2,0.25,0.153,-0.166,-0.108,0.0864710318240102,0.220668729192102,0.521259821901236,0.497509516187524
"3",3,3,0.375,0.229,-0.249,-0.162,0.155423641125938,0.153548960521217,0.48085879205618,0.480293163578039
"4",4,4,0.5,0.306,-0.332,-0.216,0.183660168784482,0.0623994450116638,0.499682732578613,0.465516019777234
"5",5,5,0.625,0.382,-0.415,-0.27,0.11288892329257,0.101037623512173,0.544708664151765,0.480765711662922
"6",6,6,0.75,0.458,-0.498,-0.324,0.1553183650431,0.15885006334665,0.519591481188713,0.466092858242945
"7",7,7,0.875,0.535,-0.581,-0.378,0.23391472523728,0.126723282229467,0.480964023737345,0.547672680533718
"8",8,8,1,0.611,-0.664,-0.432,0.171488971755482,0.143662902623953,0.428464613937117,0.500315369096266
"9",9,9,1.125,0.688,-0.747,-0.486,0.153460377603344,0.142627554792336,0.493783051609608,0.492427883417848
"10",10,10,1.25,0.764,-0.83,-0.54,0.122842710863697,0.185692100759187,0.444717143560778,0.527468803530886
"11",11,11,1.375,0.84,-0.913,-0.593,0.123614578626066,0.188788754263818,0.506923636923527,0.513359305063011
"12",12,12,1.5,0.916,-0.995,-0.647,0.070206507938551,0.123076434804246,0.485318571070549,0.421084316835702
