"","run.order","std.order","x1","x2","x3","WWR_N","WWR_E","RoofOvrhng_N","RoofOvrhng_E"
"1",1,1,-1,-1,-1,0.197215227491248,0.169754604897152,0.544552571048926,0.525396245514525
"2",2,2,1,-1,-1,0.0430610966518606,0.167978451805756,0.473063983874298,0.431949258638605
"3",3,3,-1,1,-1,0.150079791321869,0.207007868708582,0.461704118589672,0.538944487219576
"4",4,4,1,1,-1,0.230410715661157,0.205841109574065,0.515463448089849,0.479991021855117
"5",5,5,-1,-1,1,0.152356226352869,0.123838665693967,0.509118658069073,0.526805763537134
"6",6,6,1,-1,1,0.16810611877517,0.119475957374742,0.544835895438152,0.495947734384981
"7",7,7,-1,1,1,0.196721114057775,0.135055810553004,0.448394770037088,0.500774197856416
"8",8,8,1,1,1,0.0799275515885778,0.125308422201086,0.460703093234202,0.474551672556956
"9",1,1,-1.68179283050743,0,0,0.216438100479088,0.179687018351224,0.474003420712364,0.491025590693004
"10",2,2,1.68179283050743,0,0,0.177531143662553,0.164759536334075,0.525376756358181,0.498733733988941
"11",3,3,0,-1.68179283050743,0,0.182737494023058,0.174886272868223,0.535150848346959,0.450129267386128
"12",4,4,0,1.68179283050743,0,0.215112565514802,0.156571739604975,0.476544099246148,0.548175539872506
"13",5,5,0,0,-1.68179283050743,0.183866187521887,0.118161821377907,0.51564465933772,0.513677743924387
"14",6,6,0,0,1.68179283050743,0.13429854507091,0.180615040041226,0.524386619405875,0.465232523760695
"15",7,7,0,0,0,0.134083175155468,0.122620968521945,0.550960466618396,0.451371055200915
"16",8,8,0,0,0,0.189623485501509,0.128330355479682,0.538931914467797,0.535080237285867
"17",9,9,0,0,0,0.11355122338907,0.145665398361756,0.538243228874624,0.461600458162105
