in:FO ,out:DA,out:cDA,out:UDI,out:sDA50,out:sDA80,img
1,80.978014,84.819705,77.239207,0.989067,0.66261,FO1.png
2,78.982239,83.963319,79.980709,0.983236,0.525078,FO2.png
3,81.09247,84.893642,79.046175,0.98688,0.686944,FO3.png
4,80.373235,84.56586,76.950323,0.982507,0.64624,FO4.png
5,79.960267,84.459593,71.279768,0.968751,0.73781,FO5.png
6,80.265081,84.599614,76.508098,0.976723,0.690641,FO6.png
7,83.392232,85.854779,70.877818,1.0,0.890818,FO7.png
8,77.81506,83.462218,77.674968,0.959253,0.625785,FO8.png
9,79.057937,84.095979,79.120407,0.970163,0.647645,FO9.png
10,80.709186,84.773516,77.330723,0.98105,0.715375,FO10.png
11,79.325684,84.231733,80.416849,0.973784,0.629684,FO11.png
