in:SA1,out:DA,out:cDA,out:UDI,out:sDA50,out:sDA80,img
1,79.975488,84.469607,76.330442,0.971621,0.708687,SA11.png
2,77.753649,83.415361,77.828344,0.957841,0.621331,SA12.png
3,80.793221,84.775649,79.241733,0.98688,0.673373,SA13.png
4,76.339537,82.720996,79.359298,0.949962,0.543584,SA14.png
5,81.517523,85.042007,77.436912,0.995627,0.708324,SA15.png
6,80.998021,84.827909,77.517565,0.987609,0.67784,SA16.png
7,78.804737,83.922575,77.013095,0.966542,0.624258,SA17.png
8,68.332526,78.714281,78.420035,0.851733,0.387308,SA18.png
9,78.158625,83.688982,82.687284,0.978134,0.453972,SA19.png
10,79.013804,84.018288,78.662632,0.973078,0.584431,SA110.png
11,76.38586,82.876449,82.076695,0.964355,0.414785,SA111.png
12,78.328786,83.719312,79.86506,0.971621,0.521687,SA112.png
