in:SO,out:DA,out:cDA,out:UDI,out:sDA50,out:sDA80,img
1,78.125488,83.458365,78.744211,0.988412,0.477114,SO1.png
2,62.775902,76.115495,77.114119,0.805923,0.259187,SO2.png
3,78.684239,83.795109,78.398337,0.978134,0.502882,SO3.png
4,80.282281,84.382793,76.186372,0.999271,0.567819,SO4.png
5,79.190807,84.157572,79.916849,0.976017,0.596555,SO5.png
6,79.373046,84.195811,80.182849,0.980367,0.578226,SO6.png
7,81.623418,85.117411,77.867032,0.991983,0.741432,SO7.png
8,75.585446,82.297284,80.181537,0.948482,0.506312,SO8.png
9,81.262218,84.905228,77.034898,0.997813,0.6675,SO9.png
10,79.531446,84.166758,79.075228,0.983965,0.546257,SO10.png
11,78.921025,83.923684,78.291046,0.98474,0.533544,SO11.png
12,81.2308,84.883614,78.004961,0.997813,0.669073,SO12.png
13,73.434028,81.734435,80.367172,0.947316,0.386462,SO13.png
14,79.613923,84.324519,75.766105,0.971621,0.695938,SO14.png
15,77.422561,83.340112,81.439263,0.970892,0.462894,SO15.png
16,79.722218,84.250021,80.420246,0.987609,0.551314,SO16.png
17,76.646505,82.953214,80.6772,0.962215,0.458782,SO17.png
