in:CP,out:DA,out:cDA,out:UDI,out:sDA50,out:sDA80,img
1,79.856463,84.354435,78.504351,0.983236,0.592624,CP1.png
2,78.231046,83.716982,79.028133,0.970915,0.547856,CP2.png
3,77.360582,83.345025,80.680274,0.96734,0.489611,CP3.png
4,76.809846,83.03786,78.772926,0.959368,0.519995,CP4.png
5,76.917909,83.11673,79.920147,0.960803,0.501878,CP5.png
6,74.721888,82.129291,82.446779,0.952195,0.375007,CP6.png
7,78.581916,83.863474,80.737291,0.975265,0.534819,CP7.png
8,81.577207,85.042281,76.327396,1.0,0.69784,CP8.png
9,80.351923,84.550505,77.999256,0.983236,0.63036,CP9.png
10,77.916119,83.560604,80.160456,0.968728,0.530083,CP10.png
11,76.517663,82.836302,79.210765,0.95643,0.512018,CP11.png
