in:Simulations,out:DA,out:cDA,out:UDI,out:sDA50,out:sDA80,img
1,61.084744,76.128856,80.544309,0.803508,0.072138,Simulations1.png
2,79.091495,83.774667,73.721972,0.995834,0.525049,Simulations2.png
3,71.779298,80.287572,59.241951,0.853353,0.557168,Simulations3.png
4,85.575502,86.60934,55.277593,1.0,0.970845,Simulations4.png
5,72.190526,80.37454,71.283221,0.884407,0.503704,Simulations5.png
6,82.796218,85.457284,66.937951,1.0,0.721652,Simulations6.png
7,75.916491,81.751319,53.577649,0.897111,0.688444,Simulations7.png
8,85.961481,86.713509,41.927712,1.0,0.970117,Simulations8.png
9,72.251467,80.500126,75.35974,0.894994,0.373332,Simulations9.png
10,82.797719,85.457698,62.757481,1.0,0.690549,Simulations10.png
11,74.46327,81.590842,49.034905,0.878032,0.677857,Simulations11.png
12,85.977467,86.71186,43.56426,1.0,0.968659,Simulations12.png
13,78.238828,82.805579,70.408765,0.938047,0.798639,Simulations13.png
14,85.297691,86.491102,49.070449,1.0,0.970845,Simulations14.png
15,80.352568,83.625221,38.535375,0.937318,0.85642,Simulations15.png
16,86.223193,86.778898,35.250765,1.0,0.969388,Simulations16.png
17,57.175074,72.991067,77.3084,0.734607,0.050165,Simulations17.png
18,76.261621,82.629705,81.212428,0.983126,0.385354,Simulations18.png
19,64.853923,76.260793,56.672379,0.749962,0.514821,Simulations19.png
20,83.349095,85.691432,60.252049,0.995627,0.823258,Simulations20.png
21,70.848456,78.708828,69.05454,0.85583,0.488573,Simulations21.png
22,80.535165,84.513642,75.035986,0.993477,0.588566,Simulations22.png
23,70.837095,78.677958,51.928358,0.831127,0.642568,Simulations23.png
24,84.299326,86.056912,46.258372,0.996356,0.869157,Simulations24.png
25,69.830168,78.635607,67.867039,0.84736,0.38608,Simulations25.png
26,80.429109,84.440618,73.554526,0.994203,0.577481,Simulations26.png
27,69.780554,78.476856,51.345972,0.817717,0.612925,Simulations27.png
28,84.545474,86.123621,45.96727,0.996356,0.923502,Simulations28.png
29,77.520744,81.763944,63.416267,0.927114,0.778784,Simulations29.png
30,83.699586,85.875467,59.812947,0.99344,0.930631,Simulations30.png
31,78.744007,82.150814,41.749509,0.927114,0.783724,Simulations31.png
32,85.044751,86.310498,38.258358,0.995627,0.943947,Simulations32.png
33,54.676807,73.847404,79.398554,0.677252,0.047129,Simulations33.png
34,70.473754,80.895228,73.610751,0.854069,0.484721,Simulations34.png
35,68.907607,79.366681,77.258744,0.837802,0.48361,Simulations35.png
36,83.959537,86.097832,70.913789,1.0,0.897919,Simulations36.png
37,72.561361,80.382772,72.097635,0.897817,0.422509,Simulations37.png
38,80.499151,84.476961,68.910828,0.99654,0.615453,Simulations38.png
39,73.601705,81.026533,71.119004,0.88229,0.67311,Simulations39.png
40,85.233228,86.507214,54.32414,1.0,0.965199,Simulations40.png
41,72.034667,80.366877,70.756611,0.894265,0.382665,Simulations41.png
42,80.135537,84.250982,67.806126,0.996523,0.589919,Simulations42.png
43,72.998379,81.091354,69.879789,0.877326,0.651784,Simulations43.png
44,85.286295,86.516632,53.971607,1.0,0.968692,Simulations44.png
45,78.384049,82.88167,67.126049,0.938776,0.812851,Simulations45.png
46,84.610295,86.163853,56.212947,1.0,0.94446,Simulations46.png
47,79.591067,83.347404,55.264526,0.938047,0.833129,Simulations47.png
48,85.843972,86.680779,44.536246,1.0,0.970845,Simulations48.png
49,42.983193,68.164105,75.667361,0.494473,0.014012,Simulations49.png
50,71.7768,80.932246,79.307586,0.93725,0.36676,Simulations50.png
51,65.608484,76.686379,72.784751,0.776782,0.465621,Simulations51.png
52,81.273684,84.976723,80.041235,0.994898,0.715498,Simulations52.png
53,67.180337,77.18774,69.745411,0.830449,0.372615,Simulations53.png
54,79.342849,84.008842,74.915895,0.993514,0.520691,Simulations54.png
55,72.074168,79.236526,67.400674,0.855124,0.642665,Simulations55.png
56,83.183102,85.682975,63.007572,0.995627,0.850253,Simulations56.png
57,67.532786,77.408175,74.597158,0.845264,0.264136,Simulations57.png
58,79.634351,84.082175,69.117439,0.99354,0.558153,Simulations58.png
59,69.386695,78.495193,60.982737,0.817717,0.637669,Simulations59.png
60,83.331109,85.766828,65.840505,0.996356,0.910842,Simulations60.png
61,76.114218,81.070884,72.182912,0.927114,0.651169,Simulations61.png
62,83.91127,85.932028,56.340225,0.995627,0.946133,Simulations62.png
63,78.948028,82.334954,47.173207,0.927114,0.812662,Simulations63.png
64,84.188639,86.067789,57.198372,0.994169,0.931266,Simulations64.png
