in:Simulations,out:IOH,img
1,0.166911,Simulations1.png
2,0.178483,Simulations2.png
3,0.158333,Simulations3.png
4,0.147522,Simulations4.png
5,0.11873,Simulations5.png
6,0.119295,Simulations6.png
7,0.154135,Simulations7.png
8,0.154554,Simulations8.png
9,0.145729,Simulations9.png
10,0.173712,Simulations10.png
11,0.189941,Simulations11.png
12,0.167538,Simulations12.png
13,0.117743,Simulations13.png
14,0.158116,Simulations14.png
15,0.193161,Simulations15.png
16,0.163672,Simulations16.png
17,0.174666,Simulations17.png
18,0.169672,Simulations18.png
19,0.15035,Simulations19.png
20,0.1543,Simulations20.png
21,0.1261,Simulations21.png
22,0.108749,Simulations22.png
23,0.145158,Simulations23.png
24,0.161183,Simulations24.png
25,0.177245,Simulations25.png
26,0.142856,Simulations26.png
27,0.163014,Simulations27.png
28,0.19229,Simulations28.png
29,0.14931,Simulations29.png
30,0.122461,Simulations30.png
31,0.169631,Simulations31.png
32,0.186104,Simulations32.png
33,0.148419,Simulations33.png
34,0.141723,Simulations34.png
35,0.096975,Simulations35.png
36,0.10172,Simulations36.png
37,0.109352,Simulations37.png
38,0.091697,Simulations38.png
39,0.092142,Simulations39.png
40,0.108896,Simulations40.png
41,0.159592,Simulations41.png
42,0.124408,Simulations42.png
43,0.111473,Simulations43.png
44,0.148642,Simulations44.png
45,0.133319,Simulations45.png
46,0.108337,Simulations46.png
47,0.117036,Simulations47.png
48,0.144567,Simulations48.png
49,0.135929,Simulations49.png
50,0.15223,Simulations50.png
51,0.105051,Simulations51.png
52,0.091551,Simulations52.png
53,0.098182,Simulations53.png
54,0.099614,Simulations54.png
55,0.101947,Simulations55.png
56,0.099632,Simulations56.png
57,0.126336,Simulations57.png
58,0.154053,Simulations58.png
59,0.142847,Simulations59.png
60,0.113915,Simulations60.png
61,0.102039,Simulations61.png
62,0.140126,Simulations62.png
63,0.15104,Simulations63.png
64,0.107757,Simulations64.png
